NOUN,VERB/PREP,NOUN
LLC,is,company
company,include,technologies
company,specializes_in,products
It,considered,one
one,of,companies
companies,in,industry
Google,founded,1998
they,were,students
Google_LLC_Google,in,1998
1998,by,Page
students,at,University
University,in,California_California
they,own,percent
power,through,stock
percent,of,shares
percent,of,power
They,incorporated,California_California
They,held,company
company,on,1998
Google,reincorporated,Delaware
Google_LLC_Google,in,Delaware
Delaware,on,2002
Google,moved,headquarters
Google,nicknamed,Googleplex
place,on,2004
Google_LLC_Google,to,headquarters
headquarters,in,View
Google,announced,plans
plans,reorganize,interests
interests,as,conglomerate
Google,continue,company
Google,be,company
Pichai,appointed,CEO
Pichai,replacing,Page
Pichai,became,CEO
CEO,of,Google_LLC_Google
Union,founded,employees
Union,mainly,employees
Union,of,employees
incorporation,triggered,chain
partnerships,beyond,'s
chain,of,partnerships
It,offers,services
services,designed,work
podcast,hosting,Podcasts
Google,Keep,Jamboard
services,for,work
company,leads,development
system,based,browser
development,of,system
system,on,browser
Google,moved,hardware
it,partnered,manufacturers
it,released,products
Wifi,mesh,router
hardware,from,2015
Google_LLC_Google,into,hardware
2010_to_2015_it,with,manufacturers
manufacturers,in,production
products,in,2016
2016,including,line
production,of,devices
line,of,speaker
Google,experimented,carrier
Google,becoming,carrier
Google_LLC_Google,with,carrier
most,visited,website
websites,on,list
list,of,websites
websites,including,Blogger
